Feature	Gain	Cover	Frequency
azar_under	0.459141803952138	0.0200110501469802	0.0155878236529041
ctrx_quarter_normalizado	0.0819148705431145	0.00592592492706292	0.00388383484954514
ctrx_quarter	0.0503852204726995	0.0033909964195333	0.00258047585724283
mcaja_ahorro_rank	0.0397080663765672	0.0048753515987116	0.00507347795661302
mtarjeta_visa_consumo_rank	0.02289927946834	0.00647298740730611	0.00530965710286914
cpayroll_trx	0.0219609990528876	0.00932919910976733	0.00515220433869839
mcuenta_corriente_rank	0.0129343601114505	0.00507540904517091	0.00711161651504549
mcuentas_saldo_rank	0.0118550248351824	0.00793056732043553	0.00855493351994402
mprestamos_personales_rank	0.00956407577890237	0.0132425324306787	0.00833624912526242
vm_status01	0.00904553035262228	0.000963267334230678	0.000489853044086774
mpayroll_sobre_edad_rank	0.00692034084750995	0.00865013420997409	0.00464485654303709
ctarjeta_visa_transacciones	0.00596981389666544	0.00388650038046613	0.00415500349895032
mpayroll_rank	0.00590473889826004	0.00493784669788457	0.00380510846745976
mcaja_ahorro_rank_avg3	0.00449630964135992	0.00390308176941593	0.00390132960111966
vm_mpagospesos_rank	0.00443460378438504	0.00216513433447453	0.00238803358992302
cdescubierto_preacordado_tend3	0.0043625424527711	0.00224967971028459	0.000813505948215535
cproductos_tend3	0.00411862155123087	0.00361893215487163	0.00188068579426172
mpasivos_margen_rank_avg3	0.00406386551707222	0.00276154345571844	0.00387508747375787
vm_status06	0.00404064443448961	0.000269229335155622	0.000139958012596221
mpasivos_margen_rank	0.00401606213536161	0.00270912721090058	0.00509097270818754
foto_mes	0.00376516036933126	0.00593448689407541	0.0105930720783765
cdescubierto_preacordado_avg3	0.00372091723485329	0.00168401039019625	0.00140832750174948
ctrx_quarter_delta2	0.00357577977380992	0.00200584964311123	0.00362141357592722
cdescubierto_preacordado	0.00342060185824045	0.00433024609913189	0.00250174947515745
cdescubierto_preacordado_delta2	0.00341648433958644	0.00291152463659008	0.00109342197340798
vm_Finiciomora	0.00305899995886049	0.00571369930603108	0.00241427571728481
vm_status06_tend3	0.00304513873732057	0.000557455645567348	0.000227431770468859
mcuentas_saldo_rank_avg3	0.00302765114189879	0.00367558069325308	0.00318404478656403
ctrx_quarter_delta1	0.00289780502030397	0.00370918671627788	0.00507347795661302
vm_mpagominimo_rank	0.00260431182723706	0.00364108064462964	0.00320153953813856
mprestamos_personales_rank_delta2	0.0025147908586797	0.010413025386604	0.00455738278516445
ccaja_ahorro	0.0024829152703449	0.0182411207014759	0.00680545836249125
mcuentas_saldo_rank_delta2	0.00230603077601562	0.00401064107697792	0.00535339398180546
mrentabilidad_annual_rank_lag2	0.00219387488295304	0.00298120954483832	0.00666550034989503
ctrx_quarter_normalizado_avg3	0.00217481136208607	0.00142036815350385	0.00108467459762071
mprestamos_personales_rank_delta1	0.00217265488972232	0.0104042346058432	0.00555458362491253
vm_status04_delta2	0.00213676924434394	0.000780357732036048	0.000419874037788663
ctrx_quarter_normalizado_delta2	0.00208483573503103	0.00151523380463463	0.0029741077676697
ccomisiones_mantenimiento_delta2	0.0020558967370846	0.00236325718894933	0.00163575927221833
vm_msaldototal_rank	0.00189596189772187	0.000849655258173652	0.00120713785864241
vm_status04_tend3	0.00181464629108433	0.000557739597777504	0.000244926522043387
mactivos_margen_rank	0.00179700383490295	0.00538541359890178	0.00755773268019594
vm_msaldopesos_rank	0.00175438484206171	0.00205987783658829	0.00214310706787964
cproductos_delta2	0.00174581181856158	0.000955115790105256	0.00109342197340798
mv_status07_rank	0.00169408255760234	0.00066759628086987	0.000306158152554234
ctrx_quarter_normalizado_delta1	0.00165727535089823	0.00222494098078762	0.00363016095171449
mautoservicio_rank	0.00163820701981102	0.00256820793841681	0.00203813855843247
cproductos	0.00162361486755104	0.00263120124003862	0.00340272918124563
ctarjeta_visa_transacciones_delta2	0.00159506547261592	0.00299353465752956	0.00227431770468859
mcuenta_corriente_rank_delta2	0.00153838309729728	0.00271924214798105	0.00317529741077677
mprestamos_personales_rank_lag1	0.00151602953890422	0.00173622955667483	0.00170573827851645
mcuenta_debitos_automaticos_rank	0.0015103186174362	0.0042411212240958	0.00303533939818055
mprestamos_personales_rank_tend3	0.00147668222495458	0.00454318746956614	0.00222183344996501
Visa_mpagominimo_rank	0.00145054942853573	0.00326392834890289	0.004907277816655
vm_status02_avg3	0.00143946904240954	0.00079857244395024	0.000332400279916025
mprestamos_personales_rank_avg3	0.00143414273535232	0.00152201797287078	0.00157452764170749
mv_status07_rank_delta2	0.00142891574135439	0.00265595438813467	0.00117214835549335
vm_status06_delta2	0.00134782292475876	0.00112962594246203	0.000472358292512246
Visa_mpagospesos_rank	0.00132950656041698	0.000959695289331289	0.00213435969209237
mcomisiones_otras_rank_lag2	0.00130175215524064	0.00198685817445578	0.00423372988103569
mpagomiscuentas_rank	0.00124408770539193	0.00407577159175181	0.0023442967109867
vm_status01_avg3	0.00118529490531529	0.00191024172394856	0.00104968509447166
Visa_status	0.00118048189667323	0.00015293666763571	0.000148705388383485
ccomisiones_mantenimiento_delta1	0.00117932382557203	0.002016857048002	0.00111091672498251
