Feature	Gain	Cover	Frequency
azar_under	0.468903694564695	0.0248090625256956	0.00725713343229424
ctrx_quarter_normalizado_lag1	0.171213184876629	0.00438286290508403	0.00362856671614712
ctarjeta_visa_avg3	0.0332819861166126	0.000446606065938919	0.00032986970146792
cdescubierto_preacordado_tend3	0.0279498194423382	0.00798200398767008	0.00131947880587168
mcaja_ahorro_rank_avg3	0.0209459337661138	0.0104855676891414	0.00791687283523009
mautoservicio_rank	0.015217219082753	0.00808165435249068	0.00643245917862444
mcaja_ahorro_rank	0.0149514668327946	0.0143410774596064	0.00676232888009236
ctrx_quarter_normalizado_avg3	0.0147735294940955	0.009316069817141	0.00362856671614712
ctrx_quarter	0.012868117771176	0.00373824423079075	0.0032986970146792
ctrx_quarter_normalizado	0.0100935097279262	0.0147049461467182	0.0049480455220188
mcuentas_saldo_rank_lag2	0.0100333325510442	0.00240085811756969	0.00280389246247732
Visa_msaldopesos_rank	0.00852606361604672	0.0121376971707955	0.0057727197756886
ctrx_quarter_normalizado_delta1	0.00821671584402441	0.00367517279031001	0.00808180768596404
Visa_msaldototal_rank	0.00785348624590845	0.00408924100554896	0.00214415305954148
mcuenta_corriente_rank_avg3	0.00690111369084425	0.00149120267569112	0.0032986970146792
mcaja_ahorro_rank_lag1	0.00676943346155148	0.00304915514542931	0.00527791522348672
cpayroll_trx	0.00497717470509277	0.017815484689209	0.00181428335807356
mcaja_ahorro_dolares_rank_lag2	0.00458898206006297	0.00134725395932444	0.00148441365660564
mcuenta_corriente_rank_lag1	0.00433287373084815	0.0018183017779115	0.00428830611908296
vm_msaldototal_rank	0.00397335960463493	0.00673898554691644	0.004123371268349
mcuentas_saldo_rank	0.00375407262106422	0.017342251249666	0.00923635164110176
mpayroll_sobre_edad_rank	0.00370014453201042	0.0222931012381208	0.00395843641761504
cproductos	0.00325748861053995	0.00524837810416653	0.00263895761174336
ctrx_quarter_lag1	0.00287859163791577	0.00620512670226042	0.004123371268349
mprestamos_personales_rank	0.00272483929334422	0.00719922151715744	0.00313376216394524
Visa_cconsumos_tend3	0.0026120682356275	0.00407591336797484	0.00214415305954148
vm_status05_delta2	0.0022420016803871	0.00316142630870635	0.00016493485073396
mprestamos_personales_rank_lag1	0.00209902009733947	0.00156673680587829	0.00197921820880752
mprestamos_personales_rank_delta1	0.00191139262370402	0.00676568267438086	0.00395843641761504
vmr_mpagospesos	0.00184449786722829	0.00284895691611896	0.00379350156688108
vm_Finiciomora_avg3	0.00174219917935246	0.00400328564863338	0.00065973940293584
ctarjeta_visa_transacciones	0.00173683818715503	0.00553384345230418	0.00346363186541316
ctrx_quarter_normalizado_delta2	0.00173230132724263	0.00299159891016941	0.00527791522348672
mcuenta_corriente_rank_delta2	0.00171055249409601	0.00260386510232133	0.00313376216394524
cprestamos_personales	0.00159447572484215	0.00630846007090471	0.00280389246247732
ctrx_quarter_delta1	0.00155623871670347	0.00676606399548382	0.00841167738743197
mprestamos_personales_rank_delta2	0.00146376152871506	0.00691110087207113	0.00280389246247732
vm_msaldopesos_rank	0.00134814942640934	0.00412322973654311	0.00461817582055088
ctarjeta_debito_transacciones	0.00134291818983724	0.00539012724880517	0.00709219858156028
mpasivos_margen_rank	0.00133521586914608	0.0034395675015128	0.004123371268349
Visa_Finiciomora	0.00130235768412388	0.00537469304465007	0.000989609104403761
ccomisiones_mantenimiento_delta2	0.00129705185062383	0.00592188417713757	0.00214415305954148
cprestamos_personales_tend3	0.00120502976387667	0.000574567197525475	0.00032986970146792
vmr_mpagospesos_avg3	0.00117840221970991	0.00284839888523659	0.00263895761174336
foto_mes	0.00115577194612296	0.0037586356092843	0.00478311067128484
mtarjeta_visa_consumo_rank	0.00112162665681161	0.00505331375897405	0.00313376216394524
mprestamos_personales_rank_tend3	0.00108762105427893	0.00268128258673653	0.00131947880587168
vm_Finiciomora_delta1	0.00106950232289402	0.00144543949307879	0.00049480455220188
Visa_fechaalta_delta2	0.000976805705017572	0.000284358586887608	0.00065973940293584
mpayroll_rank_lag1	0.000972165559366223	0.00557531909763691	0.00478311067128484
mrentabilidad_annual_rank_avg3	0.000932433328879433	0.00246043721477821	0.00610258947715652
mcaja_ahorro_rank_delta2	0.000928189380266226	0.00236952933378153	0.00544285007422068
mcuentas_saldo_rank_tend3	0.00092078962940724	0.00267490708390537	0.00379350156688108
mcuentas_saldo_rank_delta2	0.000902470168404931	0.00472587053770954	0.00560778492495464
ccomisiones_mantenimiento_avg3	0.000890214556120055	0.00219393561612669	0.00065973940293584
cdescubierto_preacordado_lag2	0.000889043973501685	0.00426972679393931	0.000989609104403761
cprestamos_personales_avg3	0.000794475737353431	0.00297946638873505	0.00115454395513772
mcomisiones_rank_lag2	0.000768425642138476	0.00285014273174402	0.00527791522348672
active_quarter_avg3	0.00076235443525484	4.44890120975608e-05	0.00016493485073396
mrentabilidad_annual_rank_delta1	0.000759909630734793	0.00276687522357856	0.00478311067128484
mactivos_margen_rank	0.00075909822594152	0.00510603372658669	0.0049480455220188
cproductos_tend3	0.000720922128480434	0.00373776990454073	0.0008246742536698
Visa_fechaalta	0.000707359998911413	0.00133312182722823	0.00346363186541316
ccomisiones_mantenimiento_delta1	0.000697884123473742	0.00425735710937994	0.00115454395513772
ctrx_quarter_delta2	0.000675363870520669	0.00426522069456411	0.00610258947715652
mpayroll_rank_delta2	0.000673513928277178	0.00550020349061152	0.00362856671614712
Visa_mpagospesos_rank	0.000670205046753556	0.00447844429472063	0.00263895761174336
mcuentas_saldo_rank_delta1	0.000657430675138854	0.00327517625382169	0.00346363186541316
vm_Finiciomora	0.000655406004012048	0.0053248748376258	0.000989609104403761
mprestamos_personales_rank_avg3	0.00065056942131167	0.00149454156047068	0.00131947880587168
mcomisiones_otras_rank_lag2	0.000641521758930324	0.00194107322229195	0.00362856671614712
mpayroll_rank	0.000631543642371194	0.00830941930739048	0.00379350156688108
ccaja_seguridad	0.000617129356735442	0.00148167894863187	0.00065973940293584
mtransferencias_recibidas_rank	0.000605194195125906	0.00364502982214691	0.00395843641761504
vm_fultimo_cierre_delta1	0.00060145585028929	0.00177497067989488	0.00049480455220188
mtarjeta_visa_consumo_rank_avg3	0.000577443826513291	0.000663303408338233	0.00065973940293584
vm_status05_lag1	0.000571144393886748	0.00206823915987111	0.00049480455220188
mpasivos_margen_rank_avg3	0.000530167026013343	0.00283468992655951	0.00461817582055088
ccaja_ahorro	0.000528120090351456	0.00799957731020763	0.00181428335807356
mrentabilidad_annual_rank	0.000524884882380137	0.0022184796744366	0.0057727197756886
mcuenta_debitos_automaticos_rank	0.000514427527692478	0.00597337182655161	0.00131947880587168
vm_status01_avg3	0.000511136340071107	0.000149942898094884	0.00016493485073396
mpagomiscuentas_rank	0.000487048002763587	0.00484405217808242	0.00230908791027544
Visa_status_delta1	0.000481354002035139	0.000139805337065022	0.00032986970146792
mactivos_margen_rank_lag2	0.000477051820705285	0.00146163633943981	0.00346363186541316
mttarjeta_visa_debitos_automaticos_rank_delta2	0.000463234069388023	0.00336192680474465	0.00395843641761504
cliente_edad	0.000458383877717057	0.00940734971872593	0.0057727197756886
Visa_mlimitecompra_rank_lag1	0.000457519646055025	0.000768417825548776	0.0016493485073396
Visa_fechaalta_lag1	0.000447107436620487	0.000803438913675329	0.00263895761174336
mpayroll_rank_lag2	0.000435170595830532	0.00194869964435111	0.00197921820880752
ccaja_ahorro_delta2	0.000433578224814764	0.00457905726281332	0.00065973940293584
mrentabilidad_rank_lag2	0.000433152362983785	0.001875839412142	0.00379350156688108
mcuenta_corriente_rank_lag2	0.00043041909355863	0.00141521282028334	0.00362856671614712
mcomisiones_mantenimiento_rank	0.000422546668350777	0.00405552198948129	0.00296882731321128
mpayroll_rank_delta1	0.000422013061619876	0.00962991568590492	0.00461817582055088
mcuenta_corriente_rank_delta1	0.000413377874779648	0.00143989638631384	0.00296882731321128
mactivos_margen_rank_tend3	0.000409022788016214	0.000910906361106564	0.00214415305954148
cdescubierto_preacordado_avg3	0.00039663164719309	0.00327927313054981	0.00181428335807356
Visa_mpagominimo_rank	0.000393707055120363	0.00721922692429068	0.0032986970146792
mcaja_ahorro_rank_lag2	0.000389960227416954	0.00183428471243427	0.00346363186541316
ccaja_ahorro_delta1	0.000386941627897792	0.00320430168150237	0.00032986970146792
mrentabilidad_annual_rank_delta2	0.000386712472296318	0.00223942443355517	0.00461817582055088
mcuentas_saldo_rank_lag1	0.000381959946944953	0.00190171344405491	0.0032986970146792
cproductos_delta1	0.000378995096098413	0.00209500604119583	0.00065973940293584
ccaja_seguridad_avg3	0.000378799884008507	0.00480133491403641	0.0008246742536698
vm_status05_avg3	0.000371377902078382	0.00412179280702099	0.00115454395513772
mrentabilidad_annual_rank_lag1	0.000371059340876908	0.00154935879414958	0.00362856671614712
cliente_edad_lag2	0.000370741215799758	0.00303618557767138	0.00280389246247732
mrentabilidad_rank	0.000366289811538365	0.00147106706135199	0.00395843641761504
