fecha,objective,metric,first_metric_only,boost_from_average,feature_pre_filter,verbosity,max_depth,min_gain_to_split,lambda_l1,lambda_l2,max_bin,num_iterations,force_row_wise,seed,learning_rate,feature_fraction,min_data_in_leaf,num_leaves,envios,ganancia,iteracion,subidaKaggle
20221002 051735,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,1258,TRUE,519427,0.0110065553,0.8606518541,4988,282,7160,26160000,84,
20221002 053300,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,327,TRUE,519427,0.02075375013,0.8529519891,3400,1715,9650,26140000,87,
20221002 020441,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,422,TRUE,519427,0.02328242517,0.8040342013,2429,1741,6418,26050000,34,
20221002 064657,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,1646,TRUE,519427,0.003844302102,0.8627909113,97,1677,10667,26030000,106,
20221001 221526,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,98,TRUE,519427,0.1828864345,0.8430450018,1976,2035,10313,26020000,20,
20221002 043254,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,2339,TRUE,519427,0.004782137925,0.3832683004,3195,304,6280,25920000,60,
20221001 221442,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,627,TRUE,519427,0.02574317335,0.4422026843,7076,740,7588,25870000,18,
20221002 043810,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,494,TRUE,519427,0.03520423798,0.5482090298,6838,847,7186,25870000,68,
20221002 045142,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,131,TRUE,519427,0.1063515659,0.224752872,5944,411,8517,25850000,74,
20221002 053349,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,220,TRUE,519427,0.04609792608,0.4854876926,4277,727,6999,25850000,88,
20221002 020913,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,130,TRUE,519427,0.05175179484,0.7572144663,15,623,7605,25830000,36,
20221002 040118,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,322,TRUE,519427,0.04074234348,0.9821605953,4792,1877,6468,25790000,51,
20221001 221148,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,184,TRUE,519427,0.08499870077,0.809079852,7437,1787,10520,25680000,15,
20221002 043646,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,126,TRUE,519427,0.2285985316,0.4479075869,7783,1337,6789,25630000,67,
20221002 053907,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,88,TRUE,519427,0.1172984338,0.4864633098,3414,655,7203,25600000,90,
20221002 032842,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,3154,TRUE,519427,0.002577150548,0.9275057801,8,1887,7576,25570000,44,
20221002 020311,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,6140,TRUE,519427,0.001004454323,0.9912377272,11,1924,8260,25560000,33,
20221002 060120,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,180,TRUE,519427,0.08563169902,0.2259893998,4872,169,8262,25560000,96,
20221002 040242,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,39,TRUE,519427,0.2740438206,0.7098075778,7380,1751,7720,25520000,54,
20221001 215746,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,63,TRUE,519427,0.2104715899,0.353102429,4206,1903,9331,25500000,9,
20221001 215713,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,152,TRUE,519427,0.06570371622,0.3020686399,2885,1372,6256,25490000,7,
20221001 221553,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,112,TRUE,519427,0.1239372069,0.9058693466,3931,1223,5962,25440000,21,
20221002 042535,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,5399,TRUE,519427,0.001729879686,0.6216751285,3424,1892,12083,25440000,58,
20221001 215452,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,68,TRUE,519427,0.2306886063,0.3819801455,6230,1445,6900,25400000,3,
20221001 233127,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,513,TRUE,519427,0.01580787374,0.9606410354,8,966,7822,25320000,27,
20221001 215639,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,65,TRUE,519427,0.1607882332,0.6149095185,7670,452,11121,25200000,6,
20221001 215355,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,106,TRUE,519427,0.1177169165,0.7140146211,4487,269,12331,25100000,2,
20221001 235025,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,6838,TRUE,519427,0.001116146575,0.8328737589,2121,523,5202,25040000,28,
20221002 043438,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,466,TRUE,519427,0.02504460625,0.9461498944,2795,1819,5244,25040000,62,
20221001 215311,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,96,TRUE,519427,0.1667269609,0.6746075916,5310,1722,11859,24930000,1,
20221002 022010,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,560,TRUE,519427,0.006557294851,0.9977135914,6,565,9313,24900000,39,
20221002 043621,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,23,TRUE,519427,0.294899701,0.9578763184,4403,1808,6150,24740000,66,
20221001 215838,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,92,TRUE,519427,0.2982486417,0.8952212316,3897,914,5862,24440000,11,
20221002 042604,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,91,TRUE,519427,0.1454398641,0.6256211186,1911,839,10944,24440000,59,
20221001 215900,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,49,TRUE,519427,0.1452219947,0.5178344462,1561,931,12988,24430000,12,
20221002 050317,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,267,TRUE,519427,0.05279238,0.2419118433,4,1887,9935,24130000,78,
