Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.182650776052569	0.00767532897374805	0.00526024363233666
mcaja_ahorro_rank	0.0784444417494793	0.00706061271112529	0.00695598006644518
ctrx_quarter	0.05112909051867	0.00286034994744445	0.0028031561461794
cpayroll_trx	0.0349601090027895	0.00687352554624084	0.00370293466223699
mcuentas_saldo_rank_avg3	0.0333040981246026	0.00422751157577108	0.00508720930232558
mtarjeta_visa_consumo_rank	0.0270376560848742	0.00533305597418143	0.00422203765227021
mprestamos_personales_rank	0.0211811293035689	0.013479781027744	0.00692137320044297
vm_status06_avg3	0.0172725710750281	6.61034506482102e-05	0.000138427464008859
cdescubierto_preacordado_avg3	0.0150534261271005	0.00646730388397839	0.00290697674418605
cdescubierto_preacordado_delta2	0.0149192000109268	0.00229801147813702	0.000761351052048727
mcuenta_corriente_rank	0.0147600597855591	0.007106572960632	0.00858250276854928
mcuentas_saldo_rank	0.0142401733965731	0.00875121084048457	0.0101052048726467
cdescubierto_preacordado_tend3	0.0142246972645544	0.00162302537757582	0.000519102990033223
vm_status04_tend3	0.0137370230907024	0.000986784294938157	0.000380675526024363
vm_status06_delta2	0.0109395120952392	0.000409099720322909	0.000173034330011074
vm_mpagospesos_rank	0.00938496970993521	0.00111174911151352	0.0018687707641196
mpasivos_margen_rank_avg3	0.00936085385294566	0.00194435821660885	0.00335686600221484
vm_status01	0.00925627591028939	0.00287389005458064	0.000830564784053156
mpayroll_sobre_edad_rank	0.00910605106000448	0.00816801246904559	0.00352990033222591
mpasivos_margen_rank	0.00842365004383653	0.00208732945108174	0.004187430786268
foto_mes	0.00812775037737019	0.00845322256673518	0.0114548726467331
cproductos_tend3	0.00811607875418602	0.00298056816918017	0.00145348837209302
mprestamos_personales_rank_delta2	0.00785353801393754	0.0101850190366378	0.00380675526024363
ctrx_quarter_delta2	0.00648556487791829	0.00221998259882049	0.0032530454042082
vm_status06	0.00624605884469352	0.000240489722376279	6.92137320044297e-05
ctarjeta_visa_transacciones	0.00512409841782055	0.00519227886188085	0.00598698781838317
mprestamos_personales_rank_lag1	0.00502441473337949	0.00162447829616012	0.0011766334440753
Visa_Finiciomora	0.00492199703143911	0.00243115047535432	0.000726744186046512
mcuentas_saldo_rank_delta2	0.00483060836022895	0.00276935399413277	0.00505260243632337
vm_mpagominimo_rank	0.00479612137551977	0.00387121680597254	0.00263012181616833
ctrx_quarter_delta1	0.00465020269840091	0.00380230495871968	0.00366832779623477
ccaja_ahorro	0.00450593961664924	0.021970349969922	0.00681755260243632
cproductos_delta2	0.00450392683641982	0.00277878535748933	0.00190337763012182
ctarjeta_visa_transacciones_delta2	0.00447736236739164	0.0034255998809706	0.00221483942414175
mprestamos_personales_rank_delta1	0.00444338959772558	0.00837987667522351	0.00415282392026578
cproductos_delta1	0.00407882319522584	0.00253311176861986	0.00159191583610188
ctrx_quarter_normalizado_delta1	0.00377821749569343	0.00339754490491638	0.00308001107419712
mv_status07_rank	0.00377433341954043	0.000323794495385283	0.000207641196013289
mactivos_margen_rank	0.00368358284076183	0.00545965505705733	0.00806339977851606
mcuenta_corriente_rank_delta2	0.0035999338852949	0.00227851723969881	0.00294158361018826
mpayroll_rank	0.00356047959911872	0.00226844888002401	0.00207641196013289
mrentabilidad_annual_rank_lag2	0.00347486727535626	0.00303572251996852	0.00695598006644518
ccomisiones_mantenimiento_tend3	0.00345115557069656	0.00090188492989333	0.000692137320044297
vm_Finiciomora	0.00309983911743404	0.00387998980446614	0.00145348837209302
cdescubierto_preacordado	0.00305210392165863	0.00206408674252796	0.00159191583610188
Visa_delinquency_avg3	0.00298899314292455	0.00233661824157618	0.00124584717607973
ctrx_quarter_normalizado_delta2	0.00294374074949012	0.00139846519300682	0.00231866002214839
ccomisiones_mantenimiento_delta2	0.00283837252018402	0.00147638730082821	0.00124584717607973
cprestamos_personales_tend3	0.00279869558667308	0.00239759879731215	0.000761351052048727
mcuenta_corriente_rank_avg3	0.00269375481205699	0.0035030617815671	0.00571013289036545
ccomisiones_mantenimiento_delta1	0.00259852922310261	0.0011823094707634	0.000692137320044297
mprestamos_personales_rank_tend3	0.00255137905989088	0.00189638569124543	0.00124584717607973
mactivos_margen_rank_avg3	0.00252623457873407	0.00410585126218039	0.00484496124031008
mcuenta_debitos_automaticos_rank	0.00242571264755417	0.00433075113538203	0.00304540420819491
mcomisiones_otras_rank_lag2	0.00237639100066639	0.00219291192916477	0.00422203765227021
mcuentas_saldo_rank_delta1	0.00235875530169511	0.00386540969025822	0.00564091915836102
ccaja_seguridad	0.00233362850043162	0.00517194220418111	0.00155730897009967
vm_Finiciomora_delta1	0.00230520619106778	0.00269575588256486	0.000865171650055371
cprestamos_personales	0.00228432934662799	0.00143790354897818	0.0016265227021041
cproductos	0.00228008950307741	0.00242408980957798	0.00311461794019934
mactivos_margen_rank_lag2	0.00224663568847669	0.00607660212452085	0.00598698781838317
Visa_mpagospesos_rank	0.00220728570701275	0.000857431305246655	0.00204180509413068
cpayroll_trx_avg3	0.00214715452990129	0.000899616943784757	0.00110741971207087
cprestamos_personales_delta2	0.00211598078572434	0.00111592537989447	0.000449889258028793
vm_msaldopesos_rank	0.00210535356097506	0.00163706850025482	0.00145348837209302
mpayroll_rank_delta2	0.00209562097571644	0.00581271754955235	0.00290697674418605
mprestamos_personales_rank_lag2	0.00201255055476073	0.00580140618163093	0.00252630121816168
mrentabilidad_annual_rank_avg3	0.00193552089543903	0.00512031929032241	0.00546788482834994
mtarjeta_master_consumo_rank	0.0019342961148156	0.00173367832640804	0.000934385382059801
numero_de_cliente	0.00192565109318565	0.00543069284382259	0.00809800664451827
Visa_mpagominimo_rank	0.0018809633681816	0.00251553300653075	0.00404900332225914
vm_msaldototal_rank	0.00186439254310075	0.000709587757662651	0.00124584717607973
mcomisiones_mantenimiento_rank	0.00185610919692456	0.00500894408467851	0.0053640642303433
mrentabilidad_annual_rank_lag1	0.00169274916970295	0.00204311323096695	0.00474114064230343
mpagomiscuentas_rank	0.00165769936183994	0.00433202990032682	0.00207641196013289
vmr_mpagominimo_delta2	0.00165217195287963	0.00162569316915619	0.00183416389811739
mv_status07_rank_delta2	0.00165054430109676	0.00200537267710244	0.000865171650055371
mrentabilidad_annual_rank_tend3	0.00164136589729767	0.00459741454713498	0.00633305647840532
Visa_fechaalta	0.00163828298010489	0.00238274039342343	0.00470653377630122
mrentabilidad_annual_rank_delta1	0.00162133679894499	0.00269812237766461	0.00505260243632337
mrentabilidad_annual_rank	0.00157209008001558	0.00439510521450213	0.00532945736434109
vmr_mpagominimo_avg3	0.00149866689354581	0.00246484909775572	0.00211101882613511
mcuentas_saldo_rank_tend3	0.00148976229309199	0.00375337177481393	0.00394518272425249
cliente_edad_lag2	0.00147265899032161	0.00286323334764109	0.00567552602436323
mactivos_margen_rank_tend3	0.00146568540443329	0.00292302431649224	0.00456810631229236
cliente_edad	0.00146141299051465	0.00495433114158499	0.00546788482834994
vm_Finiciomora_lag1	0.00144605762947746	0.00290856664404559	0.00114202657807309
cliente_antiguedad	0.00134679389175386	0.00437163621305971	0.00560631229235881
mcuenta_corriente_rank_lag2	0.00132012148339829	0.00393311492701898	0.00432585825027685
mtransferencias_recibidas_rank	0.00131855837968015	0.00284161414988699	0.00415282392026578
vm_status04_delta1	0.00128486179442794	0.00179709275938812	0.000830564784053156
ctarjeta_visa_transacciones_delta1	0.001279983461363	0.00196850410231965	0.00141888150609081
mcuenta_corriente_rank_lag1	0.00126747686271718	0.00410014792636494	0.00352990033222591
Visa_fechaalta_lag2	0.00125871341984388	0.00192848836826983	0.0032530454042082
ccaja_seguridad_avg3	0.0012497260675652	0.00126230917095987	0.000484496124031008
mpasivos_margen_rank_lag2	0.00124837339172963	0.00168487648782386	0.00429125138427464
vm_status02	0.00121998778859081	0.000595730168178105	0.000207641196013289
ccallcenter_transacciones_delta2	0.00121749897773052	0.000941689613949747	0.000622923588039867
mrentabilidad_rank_avg3	0.0012108573569193	0.00196654474922538	0.00314922480620155
mautoservicio_rank	0.00120888389991968	0.0026574702883529	0.00235326688815061
ctransferencias_recibidas_avg3	0.00120677274541549	0.00274242677864063	0.00449889258028793
mrentabilidad_rank	0.00114693288296577	0.00319496319456677	0.004671926910299
chomebanking_transacciones	0.00113764253921106	0.00288331144594966	0.0034952934662237
mactivos_margen_rank_delta1	0.00112242822882961	0.00208293871374024	0.00415282392026578
cplazo_fijo	0.00112187865163082	0.00428623988689308	0.00134966777408638
mttarjeta_visa_debitos_automaticos_rank_lag2	0.00111688092800567	0.00254418623060876	0.0032530454042082
vm_status02_avg3	0.00111304287523556	0.00073118401984541	0.000311461794019934
mrentabilidad_rank_delta2	0.0010859586582233	0.00273047862808642	0.00401439645625692
thomebanking	0.00108300448232341	0.00075943765213708	0.00169573643410853
cdescubierto_preacordado_delta1	0.00107373194336439	0.00204714547535646	0.000553709856035437
mcaja_ahorro_rank_avg3	0.00106424469525057	0.00234094373362779	0.00346068660022148
mcomisiones_rank_avg3	0.00105837079743913	0.00418232251704347	0.00432585825027685
chomebanking_transacciones_avg3	0.00105754562421317	0.00191701922925987	0.00318383167220377
vm_Finiciomora_avg3	0.0010483060773477	0.00330254705054869	0.00128045404208195
mrentabilidad_rank_lag2	0.00103182312371223	0.00228181917845812	0.00397978959025471
mcomisiones_mantenimiento_rank_lag2	0.00102370946785269	0.00178906374239334	0.00242248062015504
mttarjeta_visa_debitos_automaticos_rank_delta2	0.000994856783708888	0.00292943616202227	0.0025609080841639
mactivos_margen_rank_delta2	0.000990636101129328	0.00234672727271444	0.00397978959025471
mrentabilidad_rank_tend3	0.000987858501539532	0.00216247008666483	0.0034952934662237
cliente_edad_lag1	0.000969858679848448	0.00214886957777556	0.00342607973421927
mpasivos_margen_rank_tend3	0.000966829838915436	0.00177574287652603	0.0032530454042082
Visa_msaldopesos_rank	0.000950444884552838	0.0027438259197207	0.00263012181616833
Master_Fvencimiento_lag2	0.000950258667986817	0.00204398022405491	0.00366832779623477
mcuentas_saldo_rank_lag2	0.000907234245764445	0.00256468877944404	0.00356450719822813
thomebanking_avg3	0.000907054091798489	0.0011907244036759	0.00269933554817276
mcaja_ahorro_dolares_rank_delta2	0.000905481746097414	0.00209980383766403	0.00173034330011074
vm_cconsumos_delta2	0.000904113087290802	0.00119014139854733	0.00107281284606866
mcaja_ahorro_rank_lag2	0.000897819942726682	0.00218963278351983	0.00356450719822813
mactivos_margen_rank_lag1	0.000897701920502363	0.00187898692353138	0.00366832779623477
vm_fechaalta_tend3	0.00089675084571896	0.000281593898865874	0.000553709856035437
mcaja_ahorro_rank_lag1	0.000892361695967118	0.00156549263653115	0.00287236987818383
mtransferencias_recibidas_rank_lag1	0.000887635922935792	0.00284225677325534	0.00359911406423034
Master_fechaalta_lag2	0.0008755842316029	0.00156435732574994	0.00356450719822813
mcaja_ahorro_rank_delta1	0.000861942561467261	0.00393727965638578	0.00384136212624585
vm_mpagominimo_rank_lag2	0.000859633358245438	0.00132758131398981	0.00148809523809524
mcomisiones_rank_lag2	0.000857650569068806	0.000966813039353212	0.00245708748615725
mcuenta_debitos_automaticos_rank_delta2	0.000848449867060042	0.00402733026527885	0.00169573643410853
chomebanking_transacciones_lag2	0.000846682622042612	0.00188090752833121	0.00301079734219269
vm_mlimitecompra_rank_delta2	0.000842736398571343	0.00193894542177317	0.00408361018826135
vm_fechaalta_lag2	0.00083356936119522	0.00193961788987565	0.00301079734219269
mprestamos_personales_rank_avg3	0.000830562255158615	0.00149454685996293	0.00110741971207087
tcallcenter_avg3	0.000822070764776534	0.00170647716617253	0.00235326688815061
vmr_mpagominimo	0.000820789141456869	0.00171695387873701	0.00179955703211517
ccomisiones_mantenimiento_avg3	0.000818048846584098	0.00726940668479719	0.00290697674418605
mcomisiones_rank_delta2	0.000814806515727462	0.0025344361197934	0.0025609080841639
Visa_mlimitecompra_rank	0.000811161669001366	0.00124636902010871	0.00273394241417497
Master_Fvencimiento_avg3	0.000805273993459897	0.00245685441288947	0.00290697674418605
Master_fechaalta	0.000792560384568583	0.00166176355756504	0.00332225913621262
mcaja_ahorro_dolares_rank	0.00078856883803605	0.00480017204937919	0.00318383167220377
Master_Fvencimiento_delta2	0.000784647667359994	6.24660969652094e-05	0.000207641196013289
cmobile_app_trx_lag1	0.000781660480663503	0.00422329663032417	0.00290697674418605
mrentabilidad_annual_rank_delta2	0.00077963067501158	0.00148399528626343	0.00290697674418605
cproductos_avg3	0.000768627593270166	0.00245906591481149	0.00193798449612403
Master_mfinanciacion_limite_rank_delta2	0.000767149729404261	0.00122071821902145	0.00339147286821705
Visa_fechaalta_lag1	0.000762493506103011	0.00126332374946339	0.00193798449612403
Visa_msaldototal_rank	0.000759422411415638	0.000545138215373876	0.00155730897009967
mpasivos_margen_rank_delta1	0.000739997375245548	0.00195735720096412	0.00339147286821705
mtransferencias_recibidas_rank_lag2	0.000739194095383986	0.0030280626801981	0.0032530454042082
Master_mfinanciacion_limite_rank	0.000738299847045707	0.00161043296539817	0.0028031561461794
Visa_Fvencimiento	0.000738205545303927	0.00188455713331319	0.00287236987818383
mcomisiones_mantenimiento_rank_delta2	0.000732321832293132	0.00131526270409856	0.00148809523809524
mrentabilidad_rank_delta1	0.000729325585027649	0.00128717546154181	0.00304540420819491
Visa_mpagospesos_rank_delta2	0.00072789523794935	0.00219161578447026	0.00321843853820598
mcaja_ahorro_rank_delta2	0.000726657404953144	0.00171087438530593	0.00269933554817276
cmobile_app_trx_avg3	0.000725509798337629	0.00220965489624122	0.00308001107419712
mcomisiones_otras_rank	0.000725356113747402	0.00104657013533857	0.00238787375415282
ccaja_seguridad_lag2	0.00072428212273108	0.000264318926254264	0.000173034330011074
mttarjeta_visa_debitos_automaticos_rank_lag1	0.000723665504271344	0.00113255252945852	0.00263012181616833
vm_Fvencimiento_lag1	0.000719035242076206	0.00327855487590294	0.00321843853820598
mcomisiones_otras_rank_delta2	0.0007087073278269	0.0016753596502884	0.00252630121816168
ccallcenter_transacciones_avg3	0.000705861606143769	0.00378388783739254	0.00276854928017719
cliente_edad_avg3	0.000704884095174054	0.00155791492320096	0.00297619047619048
ctransferencias_emitidas_avg3	0.000702129459939976	0.00184846274090577	0.00204180509413068
mplazo_fijo_dolares_rank	0.000699421468848758	0.00261280931759392	0.000830564784053156
Visa_mfinanciacion_limite_rank	0.000699202722868695	0.00150203275977929	0.00249169435215947
cliente_antiguedad_lag2	0.000698412435852952	0.00175174115726364	0.00290697674418605
vm_mfinanciacion_limite_rank_delta2	0.00069283047513707	0.00316574548476562	0.00352990033222591
mtransferencias_emitidas_rank	0.000683487249431506	0.00525777231180566	0.00311461794019934
Visa_mfinanciacion_limite_rank_delta2	0.000678083782968934	0.00154527649742367	0.00346068660022148
mrentabilidad_rank_lag1	0.000672413682120378	0.00134318783062934	0.00290697674418605
mcuenta_corriente_rank_delta1	0.000672111326672817	0.00329344169995615	0.0028031561461794
mpasivos_margen_rank_delta2	0.000668896040741504	0.00105699292794187	0.00263012181616833
ccomisiones_mantenimiento_lag2	0.000668134574243307	0.000538965341402351	0.000968992248062015
Visa_mlimitecompra_rank_delta2	0.000667035924941489	0.00179465631791864	0.0032530454042082
Visa_fechaalta_avg3	0.000666623558412428	0.00129474961344789	0.00211101882613511
Master_Fvencimiento	0.000663596573026236	0.00166314133010039	0.00294158361018826
ccomisiones_otras_avg3	0.000660575460035736	0.00141723874165996	0.00273394241417497
mautoservicio_rank_avg3	0.000655991294917762	0.00160496496848862	0.0028031561461794
mcuentas_saldo_rank_lag1	0.000646928379798516	0.002008657378569	0.00266472868217054
vm_Fvencimiento	0.000637640079312594	0.00142817345336637	0.00287236987818383
Visa_mpagominimo_rank_lag1	0.000635756085172701	0.00169908279495607	0.00242248062015504
cmobile_app_trx	0.000628391603043205	0.00226036273778634	0.00273394241417497
Visa_mfinanciacion_limite_rank_lag2	0.000625632881022175	0.00102433666315213	0.00245708748615725
mcomisiones_otras_rank_lag1	0.000621688749526977	0.00134527418410775	0.00259551495016611
vm_fechaalta	0.0006210913868684	0.00190539837358235	0.00245708748615725
Visa_cconsumos_lag2	0.000620826929517702	0.0014056143957868	0.00228405315614618
