Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.179931473745843	0.00606619184101932	0.004412273940775
mcaja_ahorro_rank	0.0658859218275151	0.00512677242556958	0.00559632720083107
ctrx_quarter	0.0442633700803549	0.0027843543311383	0.00258034248182031
cpayroll_trx	0.0286220242391595	0.00531497524546391	0.002647364364465
mtarjeta_visa_consumo_rank	0.0260293252131897	0.00412041413080944	0.00335109413223417
mcuentas_saldo_rank_avg3	0.0187693564080421	0.00463116744390687	0.00376439574187639
mprestamos_personales_rank	0.0183034853828214	0.00911070130333981	0.00463568021625728
mcuenta_corriente_rank	0.0181296231037439	0.00581596025666911	0.00675803983333892
vm_status06_tend3	0.0144428501548921	0.000264927977096756	0.000145214079063481
cdescubierto_preacordado_tend3	0.0144422745682219	0.00139485744868287	0.000480323492286898
mcuentas_saldo_rank	0.0142566327929902	0.0067561218680705	0.00771868681791271
cdescubierto_preacordado_delta2	0.0119274954816159	0.00187699907322558	0.000592026630028038
vm_status01	0.0114378469117205	0.00263199365465547	0.000781921964187974
vm_status06	0.0109380245099525	0.000181947633545762	6.70218826446835e-05
mpayroll_sobre_edad_rank	0.00984022664606103	0.00634306190817199	0.00277023781598025
cdescubierto_preacordado_avg3	0.00979488570111424	0.0059354457785114	0.00225640338237101
mpasivos_margen_rank	0.00913831702478043	0.00219270648026368	0.00432291143058209
vm_status04_delta2	0.00860114741636397	0.000455115798691853	0.000279257844352848
vm_mpagospesos_rank	0.00835200979738035	0.00102918207038755	0.00134043765289367
cproductos_tend3	0.00826612910508752	0.00190751719220665	0.000927136043251455
foto_mes	0.0080752208073563	0.00587351517686182	0.00937189325648158
mprestamos_personales_rank_delta2	0.00781192388821738	0.00942237593201558	0.00352981915262
mpasivos_margen_rank_avg3	0.006927594733639	0.00181548174006776	0.00278140812975437
mv_status07_rank_delta2	0.00689972502261488	0.00263961932507411	0.00109469074986316
cdescubierto_preacordado	0.00660976183669905	0.00187914857712136	0.00116171263250785
ctrx_quarter_avg3	0.0062515685162269	0.000847775178507557	0.00117288294628196
ctrx_quarter_delta2	0.00578011322081987	0.00185610247350788	0.00313885817052601
ctarjeta_visa_transacciones	0.00546891143317574	0.00404141138109642	0.004412273940775
vm_Finiciomora	0.00500615087506437	0.00318441907921251	0.00127341577024899
ctarjeta_visa	0.00473050811677082	0.0004481820375835	0.000223406275482278
mpayroll_rank	0.00454561903047708	0.00250036792210901	0.0018431017727288
mprestamos_personales_rank_delta1	0.00439903495438018	0.00791503234397321	0.00338460507355652
mcuentas_saldo_rank_delta2	0.00437315750036161	0.002725913227492	0.0043340817443562
ctrx_quarter_delta1	0.00435784798045866	0.00373407607158406	0.00357450040771645
vm_mpagominimo_rank	0.00424183400502339	0.00319585217409016	0.00241278777520861
mcuenta_corriente_rank_delta2	0.00420176397984639	0.00193709845644226	0.00259151279559443
ccomisiones_mantenimiento_delta2	0.00419366238337915	0.00124983115962056	0.00103883918099259
mactivos_margen_rank	0.0037448072190502	0.00496906264544405	0.00724953363939993
mrentabilidad_annual_rank_lag2	0.00366402379882946	0.00284312461867816	0.00640058979256727
ctrx_quarter_normalizado_delta2	0.0036515224493712	0.00164008165289008	0.00282608938485082
Visa_Finiciomora	0.0036058528652595	0.00363920741211634	0.00102766886721848
vm_msaldototal_rank	0.00340310562116465	0.000687114564931852	0.000938306357025569
ctrx_quarter_normalizado_delta1	0.0033349474007866	0.00380244059384551	0.00318353942562247
ccaja_ahorro	0.00329855091635695	0.00572798332883233	0.0020888486757593
cproductos_delta1	0.00318618082095065	0.00202516311023525	0.00111703137741139
mprestamos_personales_rank_tend3	0.00315441527357621	0.00282344489926622	0.0014409704768607
cprestamos_personales_delta2	0.00308054630059663	0.00230885777468581	0.000703729767769177
mprestamos_personales_rank_avg3	0.00295479907974712	0.00131229693832541	0.00117288294628196
ctarjeta_visa_transacciones_delta2	0.00282404215465871	0.00369330896580893	0.00196597522424405
cproductos	0.00279090671225865	0.00244255310639856	0.00227874400991924
Visa_mpagominimo_rank	0.00277951048413885	0.00247879031151172	0.00356333009394234
mactivos_margen_rank_avg3	0.00272930405039652	0.0043266298000176	0.00470270209890196
ccaja_seguridad	0.00259498656097335	0.00439768359339268	0.00125107514270076
mcuenta_corriente_rank_lag1	0.00252884163626927	0.00367533917170716	0.00361918166281291
mcuenta_corriente_rank_avg3	0.00245880804799772	0.00246835423071693	0.00522770684628531
cproductos_delta2	0.00244655544482826	0.00241024802943488	0.00141862984931247
mcuenta_debitos_automaticos_rank	0.00233052706897497	0.00294188750539992	0.00230108463746747
mcuentas_saldo_rank_delta1	0.00229494943498154	0.00380390295809714	0.00526121778760765
mcuentas_saldo_rank_tend3	0.00226174235379579	0.00295596532886389	0.00431174111680797
vm_msaldopesos_rank	0.0022256693010652	0.00117428621271004	0.00122873451515253
numero_de_cliente	0.00217484381437119	0.00601309717410562	0.00751762116997866
ccomisiones_mantenimiento_delta1	0.00214877598935948	0.00207954086862657	0.000848943846832658
mcomisiones_otras_rank_lag2	0.00211478343564416	0.00179879526823391	0.00361918166281291
mrentabilidad_annual_rank_lag1	0.00204538495720026	0.00218819755587537	0.00498195994325481
mrentabilidad_annual_rank_delta1	0.00201413223627628	0.00253252531892601	0.00537292092534879
cprestamos_personales	0.00197423766284415	0.00125248781237221	0.00127341577024899
mrentabilidad_annual_rank_tend3	0.00197050119865272	0.00406514585523563	0.00606548037934386
mcomisiones_mantenimiento_rank	0.00196190660207236	0.00400014923013432	0.0039319504484881
Visa_delinquency_avg3	0.00188447367775373	0.000882985546302817	0.000625537571350379
mactivos_margen_rank_lag2	0.00185269970156953	0.00649107957284665	0.00555164594573462
cprestamos_personales_tend3	0.0018027978817038	0.00123451712075262	0.000402131295868101
ccaja_ahorro_delta2	0.00178695080101253	0.0115423256429463	0.00270321593333557
mrentabilidad_annual_rank	0.00177580160843216	0.0040723434096534	0.00470270209890196
mpagomiscuentas_rank	0.00176658983786874	0.00304643258657831	0.00173139863498766
ccomisiones_mantenimiento_tend3	0.00176583441451033	0.000543922058639067	0.000469153178512784
mautoservicio_rank	0.00176500533432661	0.00179709736966255	0.00178725020385823
mpayroll_rank_delta2	0.00176054955785119	0.00468668438320398	0.0020888486757593
mcaja_ahorro_rank_avg3	0.00167736033594526	0.00246838348979791	0.00327290193581538
mrentabilidad_annual_rank_avg3	0.00167478223236693	0.00412642929524916	0.00444578488209734
mprestamos_personales_rank_lag2	0.00166488450985114	0.0031046341811831	0.00140745953553835
ctransferencias_recibidas_avg3	0.00163676825388565	0.00304108297006828	0.00487025680551367
cliente_edad	0.00160587139255606	0.00391348439642249	0.00501547088457715
Visa_fechaalta	0.00158598712334176	0.00207628321229827	0.0039319504484881
mtransferencias_recibidas_rank	0.00155135868912243	0.00291187002185969	0.00375322542810228
vmr_mpagominimo_delta2	0.00154742140234313	0.00187085010170036	0.00173139863498766
mactivos_margen_rank_tend3	0.00151301136846367	0.00283328777206773	0.00452397707851614
mcuenta_corriente_rank_lag2	0.00149367316107606	0.00407269367239408	0.00437876299945266
mrentabilidad_rank	0.00148365615419902	0.0031721221618967	0.00449046613719379
chomebanking_transacciones	0.00143500266518176	0.00265496472577907	0.00361918166281291
Visa_fechaalta_lag2	0.0014290030994014	0.00153613160038398	0.00309417691542955
mactivos_margen_rank_delta1	0.00142014097580115	0.00243166893342054	0.00483674586419133
vm_status04_delta1	0.00139151917755977	0.00126478098575653	0.000502664119835126
cliente_edad_lag2	0.00138749474593424	0.00251815841779342	0.00455748801983848
vm_Finiciomora_lag1	0.00136370226342106	0.00187270701478632	0.00082660321928443
Visa_mpagospesos_rank	0.00136179524524981	0.000884681316474768	0.00223406275482278
mtarjeta_master_consumo_rank	0.00135944159933556	0.000784770273669005	0.000580856316253924
cliente_antiguedad	0.0013403008797971	0.00367333352709649	0.00434525205813031
mrentabilidad_rank_delta2	0.00132632619848035	0.00266908565574183	0.00444578488209734
vm_Finiciomora_delta1	0.00131233365416045	0.00186822899065443	0.000525004747383354
mpasivos_margen_rank_lag2	0.00128653977070758	0.00187718752632473	0.00418886766529272
cliente_edad_lag1	0.00128625264628311	0.00227956504960813	0.00407716452755158
mttarjeta_visa_debitos_automaticos_rank_lag2	0.00128148520956224	0.00254235834467485	0.00302715503278487
mcomisiones_rank_avg3	0.00125608408271418	0.00414488746726267	0.00424471923416329
mrentabilidad_rank_avg3	0.00122969292759022	0.00217280402257181	0.00318353942562247
chomebanking_transacciones_avg3	0.0012117733624361	0.00166519825318766	0.00319470973939658
ccomisiones_mantenimiento_avg3	0.00120957549047193	0.00676281309422011	0.00278140812975437
mcomisiones_rank_lag2	0.00119971502325476	0.00122711211150124	0.00282608938485082
mcaja_ahorro_rank_lag1	0.00119700498259392	0.00134748127810385	0.00262502373691677
Master_Fvencimiento_lag2	0.00118644424147448	0.00241547553223445	0.00388726919339164
mactivos_margen_rank_delta2	0.00118617131885265	0.00226450193107972	0.00387609887961753
vm_mpagospesos_rank_lag1	0.00118610967189139	0.000345328572351715	0.000848943846832658
mpasivos_margen_rank_delta1	0.00117357148577432	0.00261087536803586	0.00426705986171152
mrentabilidad_rank_lag2	0.00117308638939777	0.00220739300031419	0.00386492856584341
mcuentas_saldo_rank_lag2	0.00116853489538597	0.00206690002248156	0.0033734347597824
mttarjeta_visa_debitos_automaticos_rank_delta2	0.00116296775280777	0.00317559263252216	0.00259151279559443
mrentabilidad_rank_tend3	0.00116100944134157	0.00185996531328154	0.00355215978016823
ctrx_quarter_tend3	0.00116012844696007	0.00154536359691281	0.00164203612479475
mactivos_margen_rank_lag1	0.00115294578238537	0.00176938432723745	0.00364152229036114
ctarjeta_visa_transacciones_delta1	0.00114327653754065	0.00167593130980791	0.000938306357025569
cpayroll_trx_avg3	0.00111292685828906	0.000881065627465786	0.000748411022865632
mpasivos_margen_rank_tend3	0.00110952423912759	0.00230011689990891	0.00354098946639411
vm_status05_avg3	0.00110788165504113	2.71842762114025e-05	0.000100532823967025
mrentabilidad_annual_rank_delta2	0.00110030974655719	0.00149147480623065	0.00350747852507177
mtransferencias_recibidas_rank_lag1	0.00109680523527383	0.0024691554320545	0.00352981915262
Master_mlimitecompra_rank_delta2	0.0010964759013291	0.00193272515981847	0.00431174111680797
cdescubierto_preacordado_delta1	0.00109580399690851	0.00245763373934618	0.000603196943802151
Master_fechaalta	0.00109432280036586	0.00372237387522015	0.00398780201735867
cliente_edad_avg3	0.00108600501130023	0.00184509682790356	0.00342928632865297
mprestamos_personales_rank_lag1	0.00107359310272948	0.00169085623623518	0.00112820169118551
ccallcenter_transacciones_delta2	0.00106993123152666	0.000903460492147975	0.000525004747383354
Master_fechaalta_lag2	0.00106338890173018	0.00180926796775582	0.00363035197658702
Visa_mlimitecompra_rank	0.00105832619358122	0.00113762332771582	0.00273672687465791
chomebanking_transacciones_lag2	0.00103979180567234	0.00216266366107752	0.00344045664242709
Visa_mlimitecompra_rank_delta2	0.00103378074902894	0.00290469967505359	0.00416652703774449
mcuentas_saldo_rank_lag1	0.00102445510070882	0.00197809604479395	0.00283725969862493
mcaja_ahorro_rank_lag2	0.00101259748219949	0.00176244023185247	0.00323939099449304
mcomisiones_rank_lag1	0.00100243413651506	0.00143724147127849	0.00332875350468595
cprestamos_personales_lag2	0.000995799016907942	0.00304753837982114	0.00131809702534544
thomebanking_avg3	0.000993471346469377	0.000986425731756202	0.00211118930330753
mtransferencias_recibidas_rank_lag2	0.000987610556151382	0.00267490739226934	0.00356333009394234
mrentabilidad_rank_delta1	0.000964210325955738	0.00121812059846184	0.00336226444600829
Master_Fvencimiento	0.00096093972318515	0.00287447914733877	0.00346279726997531
mpasivos_margen_rank_delta2	0.000958009285548233	0.00148380523436886	0.00356333009394234
vm_mpagominimo_rank_lag1	0.000955133057989806	0.000961543332323296	0.000938306357025569
mpasivos_margen_rank_lag1	0.000950525615576692	0.00116398834965975	0.00282608938485082
thomebanking	0.00095046260937347	0.000683214414060186	0.00138511890799013
ccaja_seguridad_avg3	0.000945954853794988	0.000698471447724779	0.00025691721680462
vm_fechaalta_lag2	0.0009445503420115	0.00183157541420219	0.00285960032617316
cmobile_app_trx	0.000944350092408181	0.00291037011571976	0.00302715503278487
Visa_mfinanciacion_limite_rank_delta2	0.000943789029578437	0.00170703266151276	0.00384258793829519
mcomisiones_rank_delta2	0.000943453385361863	0.00218019677429408	0.00288194095372139
Master_Fvencimiento_avg3	0.000943286331862864	0.00198550005395404	0.00303832534655898
ccallcenter_transacciones_avg3	0.000940448406847466	0.00340087309321771	0.00268087530578734
Visa_delinquency	0.000931705228121393	0.000131378915145545	0.000134043765289367
Master_mfinanciacion_limite_rank_delta2	0.000918381352599749	0.00133305819235563	0.0034516269562012
Master_Fvencimiento_lag1	0.000917711245825724	0.00244178336947147	0.00336226444600829
vm_fechaalta	0.000910964450317846	0.00205698260441413	0.0027255565608838
